Club_ID,Degree,Degree Type
951,6,In-Degree
4970,3,In-Degree
245,6,In-Degree
17923,8,In-Degree
713,6,In-Degree
36755,9,In-Degree
5563,1,In-Degree
35013,2,In-Degree
11086,12,In-Degree
72390,4,In-Degree
127,10,In-Degree
42,10,In-Degree
22443,22,In-Degree
69498,5,In-Degree
49733,3,In-Degree
42493,1,In-Degree
17847,9,In-Degree
42641,5,In-Degree
35334,5,In-Degree
44116,10,In-Degree
12715,3,In-Degree
299,13,In-Degree
12800,7,In-Degree
19077,2,In-Degree
307,2,In-Degree
4514,10,In-Degree
2235,3,In-Degree
11159,10,In-Degree
11309,1,In-Degree
35744,1,In-Degree
25,8,In-Degree
9497,11,In-Degree
61542,1,In-Degree
4795,6,In-Degree
254,9,In-Degree
1538,5,In-Degree
75872,1,In-Degree
41201,15,In-Degree
2741,12,In-Degree
8972,7,In-Degree
37316,1,In-Degree
1997,12,In-Degree
11555,3,In-Degree
13544,7,In-Degree
2395,12,In-Degree
34440,6,In-Degree
24633,1,In-Degree
1212,19,In-Degree
11,5,In-Degree
167,11,In-Degree
10149,2,In-Degree
2364,4,In-Degree
1061,5,In-Degree
5,6,In-Degree
1101,5,In-Degree
22110,14,In-Degree
2413,1,In-Degree
3054,4,In-Degree
3540,11,In-Degree
3933,21,In-Degree
71343,1,In-Degree
35388,10,In-Degree
899,8,In-Degree
11177,6,In-Degree
1035,5,In-Degree
43454,5,In-Degree
38059,8,In-Degree
641,4,In-Degree
164,3,In-Degree
3008,6,In-Degree
2793,5,In-Degree
3684,10,In-Degree
1060,9,In-Degree
114,6,In-Degree
10484,8,In-Degree
603,8,In-Degree
7609,10,In-Degree
21019,2,In-Degree
4614,6,In-Degree
10868,9,In-Degree
30204,7,In-Degree
1096,9,In-Degree
498,5,In-Degree
798,9,In-Degree
74662,1,In-Degree
3612,4,In-Degree
34694,3,In-Degree
58284,1,In-Degree
11229,8,In-Degree
511,7,In-Degree
2760,10,In-Degree
257,9,In-Degree
36100,8,In-Degree
33185,1,In-Degree
352,7,In-Degree
986,6,In-Degree
972,14,In-Degree
583,7,In-Degree
506,9,In-Degree
45927,9,In-Degree
1410,6,In-Degree
1613,4,In-Degree
66883,10,In-Degree
7744,6,In-Degree
69873,1,In-Degree
187,10,In-Degree
1083,10,In-Degree
2696,12,In-Degree
6418,15,In-Degree
60949,15,In-Degree
5507,11,In-Degree
2833,5,In-Degree
1080,13,In-Degree
30612,15,In-Degree
3549,7,In-Degree
40900,5,In-Degree
81776,5,In-Degree
45276,9,In-Degree
45277,13,In-Degree
1095,7,In-Degree
595,8,In-Degree
2618,6,In-Degree
73824,1,In-Degree
7185,9,In-Degree
11961,11,In-Degree
9793,9,In-Degree
6890,9,In-Degree
36,10,In-Degree
23377,24,In-Degree
54318,10,In-Degree
12,6,In-Degree
189,4,In-Degree
24349,8,In-Degree
1627,12,In-Degree
4271,10,In-Degree
63520,5,In-Degree
56319,4,In-Degree
18822,2,In-Degree
72822,12,In-Degree
22123,16,In-Degree
36807,17,In-Degree
68,10,In-Degree
14559,6,In-Degree
4146,3,In-Degree
458,15,In-Degree
810,10,In-Degree
13499,20,In-Degree
820,12,In-Degree
20,11,In-Degree
54210,10,In-Degree
12381,10,In-Degree
868,8,In-Degree
6646,22,In-Degree
37953,25,In-Degree
74840,5,In-Degree
69486,20,In-Degree
4900,10,In-Degree
3719,13,In-Degree
1186,13,In-Degree
1106,12,In-Degree
1030,5,In-Degree
51772,6,In-Degree
83498,1,In-Degree
14796,17,In-Degree
67212,16,In-Degree
17444,9,In-Degree
20296,3,In-Degree
19771,7,In-Degree
3207,12,In-Degree
1114,5,In-Degree
12321,9,In-Degree
26587,5,In-Degree
73818,2,In-Degree
40787,3,In-Degree
38431,1,In-Degree
11422,14,In-Degree
9477,9,In-Degree
3368,9,In-Degree
714,8,In-Degree
6878,4,In-Degree
12361,8,In-Degree
7170,2,In-Degree
4254,15,In-Degree
109,10,In-Degree
533,7,In-Degree
7318,11,In-Degree
243,6,In-Degree
26663,1,In-Degree
2324,8,In-Degree
77099,7,In-Degree
28447,10,In-Degree
52278,1,In-Degree
589,8,In-Degree
37099,4,In-Degree
24245,12,In-Degree
39722,11,In-Degree
45278,10,In-Degree
172,5,In-Degree
10718,12,In-Degree
9470,5,In-Degree
9471,13,In-Degree
3205,15,In-Degree
10463,10,In-Degree
772,3,In-Degree
6112,9,In-Degree
6110,13,In-Degree
931,5,In-Degree
1075,8,In-Degree
371,7,In-Degree
52,14,In-Degree
11696,5,In-Degree
41011,1,In-Degree
2808,2,In-Degree
21307,5,In-Degree
38987,4,In-Degree
7378,4,In-Degree
1071,8,In-Degree
3508,9,In-Degree
281,7,In-Degree
58,8,In-Degree
19831,1,In-Degree
104805,1,In-Degree
429,10,In-Degree
8827,6,In-Degree
7179,9,In-Degree
2503,5,In-Degree
28095,6,In-Degree
504,4,In-Degree
44858,15,In-Degree
24326,15,In-Degree
1025,11,In-Degree
1320,6,In-Degree
44631,19,In-Degree
57401,1,In-Degree
46854,13,In-Degree
21179,2,In-Degree
34888,9,In-Degree
31367,7,In-Degree
32810,2,In-Degree
5761,9,In-Degree
9002,2,In-Degree
8564,3,In-Degree
20371,1,In-Degree
8327,5,In-Degree
3225,8,In-Degree
2385,2,In-Degree
53804,9,In-Degree
64308,7,In-Degree
50,7,In-Degree
44963,14,In-Degree
38086,1,In-Degree
1194,5,In-Degree
244,2,In-Degree
39994,16,In-Degree
42635,11,In-Degree
23840,2,In-Degree
1037,4,In-Degree
7020,9,In-Degree
37983,14,In-Degree
74830,6,In-Degree
66995,4,In-Degree
6273,11,In-Degree
2966,2,In-Degree
53837,5,In-Degree
6275,2,In-Degree
14492,6,In-Degree
1341,9,In-Degree
545,5,In-Degree
4055,10,In-Degree
35132,9,In-Degree
3861,9,In-Degree
3981,9,In-Degree
7525,9,In-Degree
11478,6,In-Degree
24730,6,In-Degree
4761,2,In-Degree
5558,7,In-Degree
30006,9,In-Degree
85333,1,In-Degree
69,6,In-Degree
24936,6,In-Degree
40579,4,In-Degree
19193,4,In-Degree
8683,3,In-Degree
50025,1,In-Degree
25192,5,In-Degree
59670,2,In-Degree
24431,5,In-Degree
53920,1,In-Degree
3033,12,In-Degree
3000,12,In-Degree
20603,3,In-Degree
21795,3,In-Degree
9127,13,In-Degree
2984,21,In-Degree
30120,5,In-Degree
152,6,In-Degree
113,12,In-Degree
55072,2,In-Degree
2666,5,In-Degree
5864,4,In-Degree
21016,2,In-Degree
48675,5,In-Degree
35371,9,In-Degree
5141,3,In-Degree
33675,1,In-Degree
55196,8,In-Degree
50040,1,In-Degree
18430,4,In-Degree
10386,1,In-Degree
7440,5,In-Degree
21644,10,In-Degree
3736,14,In-Degree
3751,9,In-Degree
43,7,In-Degree
405,13,In-Degree
7283,6,In-Degree
11898,12,In-Degree
22737,2,In-Degree
11302,5,In-Degree
5660,4,In-Degree
10582,1,In-Degree
1192,2,In-Degree
3024,7,In-Degree
1191,11,In-Degree
1123,5,In-Degree
2578,4,In-Degree
2759,6,In-Degree
10580,1,In-Degree
25442,3,In-Degree
4602,17,In-Degree
2672,12,In-Degree
1199,11,In-Degree
9284,15,In-Degree
5592,19,In-Degree
31173,5,In-Degree
2670,21,In-Degree
37339,16,In-Degree
59639,3,In-Degree
64369,4,In-Degree
54189,11,In-Degree
10396,12,In-Degree
41746,5,In-Degree
3326,12,In-Degree
2434,13,In-Degree
5868,6,In-Degree
3349,11,In-Degree
6429,15,In-Degree
2521,12,In-Degree
2804,3,In-Degree
7047,14,In-Degree
44914,8,In-Degree
3012,10,In-Degree
2805,5,In-Degree
1045,10,In-Degree
72649,1,In-Degree
2262,3,In-Degree
3822,7,In-Degree
6169,17,In-Degree
29,7,In-Degree
350,9,In-Degree
5594,7,In-Degree
4421,10,In-Degree
11319,8,In-Degree
13980,3,In-Degree
6168,7,In-Degree
10895,13,In-Degree
16040,7,In-Degree
2998,12,In-Degree
29512,1,In-Degree
33721,3,In-Degree
5271,6,In-Degree
8820,15,In-Degree
3826,13,In-Degree
9153,4,In-Degree
36414,6,In-Degree
64416,4,In-Degree
71084,17,In-Degree
7831,11,In-Degree
8426,7,In-Degree
12722,1,In-Degree
6089,17,In-Degree
4093,21,In-Degree
7030,12,In-Degree
3052,9,In-Degree
2794,8,In-Degree
39336,3,In-Degree
3716,7,In-Degree
7067,12,In-Degree
61544,5,In-Degree
20955,4,In-Degree
77929,2,In-Degree
31,4,In-Degree
985,4,In-Degree
46,8,In-Degree
11175,1,In-Degree
34463,1,In-Degree
527,2,In-Degree
10331,2,In-Degree
4297,14,In-Degree
1701,14,In-Degree
3999,17,In-Degree
76674,6,In-Degree
24022,5,In-Degree
3021,2,In-Degree
8365,2,In-Degree
3016,5,In-Degree
6028,7,In-Degree
2118,11,In-Degree
8445,12,In-Degree
3034,6,In-Degree
3825,8,In-Degree
22800,3,In-Degree
92446,1,In-Degree
3030,4,In-Degree
17602,4,In-Degree
2553,1,In-Degree
465,9,In-Degree
3032,8,In-Degree
5395,6,In-Degree
62545,1,In-Degree
68289,3,In-Degree
1124,21,In-Degree
10586,11,In-Degree
4608,16,In-Degree
10391,7,In-Degree
22672,9,In-Degree
3958,6,In-Degree
7583,3,In-Degree
11050,2,In-Degree
521,16,In-Degree
9599,17,In-Degree
26592,1,In-Degree
30370,10,In-Degree
16145,19,In-Degree
31450,13,In-Degree
28329,20,In-Degree
9818,19,In-Degree
56271,15,In-Degree
50716,1,In-Degree
7476,12,In-Degree
6195,15,In-Degree
1050,6,In-Degree
11596,11,In-Degree
11245,21,In-Degree
11143,9,In-Degree
3868,9,In-Degree
1531,8,In-Degree
11259,16,In-Degree
63244,7,In-Degree
13462,5,In-Degree
11009,3,In-Degree
58417,1,In-Degree
43502,4,In-Degree
34761,6,In-Degree
49791,3,In-Degree
2700,2,In-Degree
36972,15,In-Degree
1031,7,In-Degree
1302,10,In-Degree
2802,13,In-Degree
131,8,In-Degree
