Club_ID,Degree,Degree Type
829,5,In-Degree
5219,14,In-Degree
94,5,In-Degree
158,16,In-Degree
504,3,In-Degree
11976,10,In-Degree
56,10,In-Degree
4258,7,In-Degree
92,11,In-Degree
7475,12,In-Degree
113,7,In-Degree
293,12,In-Degree
631,4,In-Degree
15,8,In-Degree
813,8,In-Degree
1061,4,In-Degree
40,3,In-Degree
1775,8,In-Degree
52,10,In-Degree
533,8,In-Degree
18,7,In-Degree
10,9,In-Degree
996,11,In-Degree
57,7,In-Degree
418,6,In-Degree
33,13,In-Degree
93,7,In-Degree
1179,7,In-Degree
50,12,In-Degree
14187,2,In-Degree
95,14,In-Degree
143,4,In-Degree
413,13,In-Degree
24537,2,In-Degree
44,10,In-Degree
238,8,In-Degree
4795,10,In-Degree
16,6,In-Degree
79,8,In-Degree
275,8,In-Degree
5694,6,In-Degree
716,9,In-Degree
2745,6,In-Degree
5059,14,In-Degree
668,15,In-Degree
5465,1,In-Degree
409,11,In-Degree
2672,17,In-Degree
22219,4,In-Degree
699,3,In-Degree
2294,2,In-Degree
1304,2,In-Degree
39,5,In-Degree
321,5,In-Degree
8031,6,In-Degree
3466,4,In-Degree
7107,1,In-Degree
2394,2,In-Degree
279,9,In-Degree
117,11,In-Degree
10121,12,In-Degree
45,5,In-Degree
269,7,In-Degree
30,6,In-Degree
13838,10,In-Degree
9029,4,In-Degree
8354,1,In-Degree
657,6,In-Degree
1468,5,In-Degree
11027,9,In-Degree
2249,8,In-Degree
564,6,In-Degree
89,5,In-Degree
1235,9,In-Degree
25,6,In-Degree
112,7,In-Degree
10780,6,In-Degree
26482,9,In-Degree
10803,9,In-Degree
1710,3,In-Degree
18309,1,In-Degree
115,12,In-Degree
22878,3,In-Degree
449,6,In-Degree
10484,11,In-Degree
166,16,In-Degree
107,13,In-Degree
21,6,In-Degree
72,6,In-Degree
66,14,In-Degree
109,12,In-Degree
104,14,In-Degree
1248,9,In-Degree
232,12,In-Degree
254,13,In-Degree
3229,2,In-Degree
2891,6,In-Degree
12163,4,In-Degree
5378,9,In-Degree
2,10,In-Degree
428,14,In-Degree
34,10,In-Degree
65,7,In-Degree
281,7,In-Degree
355,6,In-Degree
995,4,In-Degree
82,10,In-Degree
1397,9,In-Degree
14,7,In-Degree
81,6,In-Degree
101,14,In-Degree
222,9,In-Degree
422,10,In-Degree
28760,10,In-Degree
36,6,In-Degree
589,10,In-Degree
328,9,In-Degree
1694,5,In-Degree
400,5,In-Degree
108,11,In-Degree
2974,5,In-Degree
3146,10,In-Degree
42,7,In-Degree
1324,10,In-Degree
33010,8,In-Degree
24,3,In-Degree
3205,10,In-Degree
1937,4,In-Degree
32621,2,In-Degree
10131,5,In-Degree
4428,5,In-Degree
114,8,In-Degree
38,6,In-Degree
111,7,In-Degree
1910,1,In-Degree
30796,5,In-Degree
2324,5,In-Degree
1203,8,In-Degree
299,14,In-Degree
2162,10,In-Degree
7821,1,In-Degree
364,14,In-Degree
11908,7,In-Degree
85,17,In-Degree
3496,6,In-Degree
414,4,In-Degree
13647,3,In-Degree
4480,5,In-Degree
