Club_ID,In_Degree
2,161
78,165
66,148
996,187
1526,45
4825,93
2195,18
113116,0
2371,66
56,168
44,159
86,155
27,110
3229,47
277,53
280,68
60,158
79,153
39,164
2263,101
1290,136
667,133
162,150
583,98
46,123
355,156
164,138
623,111
197,105
10,167
892,54
37004,19
21058,42
80,161
109,157
110,157
18,153
21088,48
21410,5
95,240
41,192
3,159
5220,145
829,170
5219,170
446,84
37925,54
675,208
156,223
82,173
1768,9
11451,46
459,160
151,145
398,128
1459,113
38,176
383,140
25,185
52,176
419,119
170,104
674,18
104,211
75863,1
344,76
24,172
142,130
72,178
4476,31
19423,5
409,162
4795,109
503,122
129,163
496,101
190,131
2294,81
7,75
625,119
116,95
18916,66
12019,113
434,99
22,137
159,191
873,135
107,175
899,125
2300,153
4441,108
28760,87
4480,43
59629,0
21047,72
3426,89
42,177
173,103
1,174
63,204
254,152
94,164
158,176
85,208
6276,28
347,125
11976,92
504,104
708,126
279,158
7682,108
27165,103
29688,29
22321,2
16,135
2058,72
36,157
26,130
663,143
449,184
132,105
6365,65
4677,19
438,100
127,159
1322,56
4378,79
28182,12
4059,84
463,146
57,172
169,282
81,172
890,72
2695,37
2527,80
2531,191
208,242
840,175
381,15
2085,86
4258,115
15171,79
10193,89
11348,10
220,143
23,169
474,13
20114,8
497,176
92,163
8,175
21,145
5369,40
111,199
171,161
293,170
9695,68
1917,5
15,139
4,199
3154,3
172,127
1096,152
520,98
8427,67
50,165
693,3
225,105
35,157
691,0
83,163
7475,75
113,211
1606,80
19602,7
65,168
48,150
192,112
1622,94
37,40
40,111
2703,130
498,97
8536,76
7252,11
33,138
617,58
408,95
410,175
5,118
862,114
276,114
12,132
321,126
13,133
6642,41
14,113
23826,88
327,97
150,134
631,170
406,6
405,136
30,172
148,142
985,123
931,187
1091,199
9727,3
211,68
1061,98
210,107
506,128
418,106
4786,37
216,41
130,204
813,110
651,53
1968,4
970,86
2943,82
209,88
940,113
1775,107
866,91
1030,85
1963,3
6600,127
585,104
1023,116
7014,121
3973,156
4781,50
759,153
168,128
1655,79
9056,44
4713,67
533,132
1960,1
2411,94
61,104
648,126
106716,0
5370,56
645,48
5120,40
1755,155
828,98
1537,3
2827,45
167,170
18687,137
2505,94
2937,11
679,129
1402,170
499,101
6502,110
309,181
10247,159
6297,45
15532,27
1557,143
605,234
282,174
2409,15
485,108
1020,158
447,140
10317,31
2399,57
984,139
2035,131
343,61
106,202
19,102
1025,125
21063,47
29720,1
491,146
389,137
19210,0
26561,38
6760,54
356,44
71,157
17,117
373,140
139,174
5874,83
668,169
1726,37
5287,164
1464,58
2374,137
2672,199
653,191
594,8
11141,82
1247,90
25467,58
330,127
825,116
2863,104
609,141
8718,115
2125,147
34153,12
17964,133
413,136
201,10
68,167
6603,95
2228,17
430,135
1319,100
89,164
38447,1
21075,96
4042,71
13505,24
656,53
5610,42
2573,150
29516,0
21055,55
1006,90
8712,84
7523,62
12800,47
88828,0
29177,20
21064,47
101,209
364,141
7738,60
21617,3
782,26
69,156
9989,11
1463,90
11,142
31797,0
21061,88
21071,42
91,166
1628,62
124,169
577,4
5621,109
610,137
1184,130
6,146
845,114
740,101
767,106
973,105
93,150
1179,115
5656,46
35173,15
97,169
2911,31
175,88
501,65
195,89
76,91
243,150
3899,167
14187,37
2533,37
571,138
5560,172
19224,6
24681,27
3306,33
537,135
322,102
90,166
4052,54
22456,23
